Cell ID,,,R1S1 mean
61610-T361-CA1-0001.abf,,,-36.03623962
61610-T362-SUB-0011.abf,,,-38.45082092
61610-T363-SUB-0021.abf,,,-35.55289078
61612-T365-CA1-0004.abf,,,-53.21048355
61612-T372-SUB-0015.abf,,,-60.25273895
61612-T373-SUB-0032.abf,,,-37.1354332
61615-T374-CA1-0001.abf,,,-58.11362457
61615-T375-SUB-0011.abf,,,-42.98952103
61615-T376-CA1-0028.abf,,,-51.24230576
61615-T377-SUB-0040.abf,,,-31.96361923
61615-T378-SUB-0051.abf,,,-54.10009003
63963-T411-CA1-0002.abf,,,-29.86670494
63963-T412-CA1-0016.abf,,,-38.83138657
63963-T413-SUB-0024.abf,,,-34.2027359
63963-T414-SUB-0034.abf,,,-40.35990906
63963-T415-SUB-0044.abf,,,-44.68690872
63964-T416-SUB-0009.abf,,,-36.33517075
63964-T417-SUB-0019.abf,,,-42.53057098
63964-T418-SUB-0035.abf,,,-39.35322189
63964-T419-CA1-0045.abf,,,-34.89133453
63965-T420-CA1-0001.abf,,,-27.78689003
63965-T421-CA1-0013.abf,,,-21.2843647
63965-T422-SUB-0029.abf,,,-40.55245209
63965-T423-SUB-0040.abf,,,-46.84381104
63965-T424-CA1-0050.abf,,,-39.48737717
63966-T425-SUB-0004.abf,,,-32.6368866
63966-T426-CA1-0017.abf,,,-42.64193726
63966-T427-SUB-0031.abf,,,-29.12542534
63966-T428-CA1-0043.abf,,,-47.89696884
63966-T429-SUB-0053.abf,,,-47.20016098
63967-T430-SUB-0001.abf,,,-66.40701294
63967-T431-SUB-0014.abf,,,-27.04265976
63967-T432-CA1-0029.abf,,,-35.11883545
63967-T433-SUB-0044.abf,,,-52.18057251
63967-T434-CA1-0068.abf,,,-30.46222115
63968-T435-CA1-0001.abf,,,-43.28840256
63968-T436-CA1-0011.abf,,,-33.47914124
63968-T437-SUB-0027.abf,,,-30.55748367
63968-T438-SUB-0039.abf,,,-31.91819763
63968-T439-SUB-0049.abf,,,-45.53158951
63969-T440-CA1-0001.abf,,,-36.4934082
63969-T441-SUB-0013.abf,,,-33.53720093
63969-T442-SUB-0028.abf,,,-36.50392914
63969-T443-CA1-0038.abf,,,-35.54590988
63970-T445-CA1-0001.abf,,,-43.82801819
63970-T446-SUB-0011.abf,,,-34.47951508
63970-T447-SUB-0021.abf,,,-42.88321304
63970-T448-CA1-0031.abf,,,-28.55807686
63970-T449-SUB-0045.abf,,,-40.35996246
63970-T450-SUB-0055.abf,,,-30.82310104
63971-T451-SUB-0013.abf,,,-48.13282394
63971-T452-CA1-0023.abf,,,-42.12715912
63971-T453-SUB-0037.abf,,,-41.55467224
63971-T454-CA1-0047.abf,,,-32.85186768
63972-T455-SUB-0003.abf,,,-44.29995346
63972-T456-SUB-0018.abf,,,-44.75609207
63972-T457-CA1-0034.abf,,,-38.31151199
63973-T458-SUB-0007.abf,,,-42.32354736
63973-T459-SUB-0023.abf,,,-54.07528305
63973-T460-CA1-0034.abf,,,-31.92610168
63973-T461-SUB-0044.abf,,,-55.93593979
63974-T462-SUB-0001.abf,,,-42.05695724
63974-T463-CA1-0011.abf,,,-32.64155197
63974-T464-SUB-0021.abf,,,-46.43189621
63974-T465-CA1-0032.abf,,,-35.36020279
63974-T466-SUB-0043.abf,,,-50.85805511
63975-T467-SUB-0005.abf,,,-39.01247406
63975-T468-SUB-0016.abf,,,-32.31573486
63975-T469-CA1-0027.abf,,,-39.6549263
63975-T470-CA1-0042.abf,,,-37.95664597
63976-T471-CA1-0002.abf,,,-40.36143875
63976-T472-SUB-0033.abf,,,-44.47591019
63976-T473-CA1-0043.abf,,,-33.64409256
63976-T474-SUB-0058.abf,,,-48.79529572
