1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Baseline (T0S1R1) (mV),Antipeak Amp (T0S1R1) (mV),Time of Antipeak (Trace) (T0S1R1) (ms)
53460-T101-CA1-0007.abf,4,21.0211,-60.7007,-1.73831,481.4
53460-T102-SUB-0026.abf,4,21.0211,-60.9073,-1.01283,482.1
53460-T103-SUB-0038.abf,4,21.0211,-61.2479,-2.48295,813.1
53460-T104-CA1-0050.abf,4,21.0211,-61.3364,-4.85623,506.9
53466-T108-CA1-0005.abf,4,21.0211,-60.4778,-1.3712,487.8
53466-T109-CA1-0020.abf,4,21.0211,-60.313,0.488341,1382.5
54241-T76-CA1-0005.abf,4,21.0211,-60.3735,-0.86508,1358.4
54241-T77-SUB-0015.abf,4,21.0211,-60.2543,-1.23865,517.4
54242-T78-CA1-0025.abf,4,21.0211,-61.1323,-1.67285,462.9
54244-T79-SUB-0007.abf,4,21.0211,-59.2756,-0.223515,1212.9
54249-T80-CA1-0006.abf,4,21.0211,-60.8983,0.473544,1321.2
54252-T81-SUB-0006.abf,4,21.0211,-60.5542,-5.56722,471
54253-T82-CA1-0018.abf,4,21.0211,-61.2062,-0.988621,466.5
54255-T83-SUB-0007.abf,4,21.0211,-61.14,-2.27551,452.3
54255-T84-CA1-0024.abf,4,21.0211,-60.746,-2.97474,455.3
54258-T85-CA1-0007.abf,4,21.0211,-60.0091,-1.09722,438.7
54259-T86-SUB-0007.abf,4,21.0211,-60.1968,-0.268701,524.5
54262-T87-CA1-0005.abf,4,21.0211,-61.7421,-1.86675,1088.1
54264-T88-SUB-0005.abf,4,21.0211,-59.8155,-4.63759,471.1
54265-T89-CA1-0007.abf,4,21.0211,-61.2098,-1.88025,459.7
54265-T90-SUB-0018.abf,4,21.0211,-61.4271,-1.58156,469.1
54265-T91-SUB-0029.abf,4,21.0211,-59.9683,-2.78601,489.6
53116-T198-CA1-0005.abf,4,21.0211,-60.6624,-1.62395,1242.1
53116-T200-SUB-0015.abf,4,21.0211,-61.5659,0.0323363,1255
53116-T202-SUB-0025.abf,4,21.0211,-61.4842,-3.32494,450
53118-T203-SUB-0010.abf,4,21.0211,-61.0865,-0.386069,530.7
53118-T204-SUB-0020.abf,4,21.0211,-60.882,-0.0208826,1360.2
53118-T205-CA1-0031.abf,4,21.0211,-60.4005,-1.35687,941.7
53118-T206-CA1-0043.abf,4,21.0211,-61.5173,-0.0163505,1274.7
53118-T207-CA1-0057.abf,4,21.0211,-61.1187,0.195483,1279
53120-T210-SUB-0005.abf,4,21.0211,-60.4434,-2.59577,487
53120-T213-CA1-0039.abf,4,21.0211,-62.0143,-1.34018,464.5
53120-T215-CA1-0023.abf,4,21.0211,-61.1266,-0.346025,1358.9
53120-T216-SUB-0033.abf,4,21.0211,-60.8063,-0.768037,495.9
53122-T217-SUB-0005.abf,4,21.0211,-61.5742,-1.3327,459.4
53122-T219-CA1-0015.abf,4,21.0211,-61.3426,-2.97825,468.2
53122-T221-SUB-0029.abf,4,21.0211,-60.8263,-0.259716,657
53122-T222-SUB-0039.abf,4,21.0211,-60.8438,-0.984808,470.6
53122-T224-CA1-0051.abf,4,21.0211,-60.7677,-0.623517,1144.5
53124-T228-CA1-0011.abf,4,21.0211,-60.9989,-1.31796,496.2
53125-T229-CA1-0008.abf,4,21.0211,-60.8805,-0.592031,488.9
53125-T231-SUB-0015.abf,4,21.0211,-60.8674,-0.391555,440.6
53125-T233-CA1-0025.abf,4,21.0211,-60.2658,-1.68489,454.3
53125-T235-CA1-0035.abf,4,21.0211,-61.3707,-0.824092,1240.3
53125-T236-SUB-0045.abf,4,21.0211,-60.9773,0.00318745,1167.2
53125-T238-SUB-0055.abf,4,21.0211,-61.4398,-1.3247,466.6
53128-T239-SUB-0005.abf,4,21.0211,-61.7224,-3.03586,458
53128-T241-CA1-0016.abf,4,21.0211,-60.7509,-4.35322,452.4
53128-T242-SUB-0026.abf,4,21.0211,-60.9706,-0.562973,505.2
53128-T244-CA1-0005.abf,4,21.0211,-60.8742,-2.91774,449.4
53128-T245-SUB-0015.abf,4,21.0211,-61.7727,0.259444,1340
53177-T156-CA1-0006.abf,4,21.0211,-59.7303,-0.969145,482.1
53177-T158-SUB-0016.abf,4,21.0211,-61.1394,-2.91697,432
53177-T159-SUB-0026.abf,4,21.0211,-61.2052,-0.287769,1327.9
53180-T164-SUB-0005.abf,4,21.0211,-60.6473,-0.713377,445.6
53180-T165-SUB-0017.abf,4,21.0211,-61.0944,-0.937676,486.7
53180-T166-CA1-0027.abf,4,21.0211,-61.9616,-2.60347,459.4
53185-T167-SUB-0014.abf,4,21.0211,-61.4383,-0.726011,460
53185-T169-CA1-0029.abf,4,21.0211,-61.5178,-1.14498,466.4
53199-T171-CA1-0006.abf,4,21.0211,-61.2062,-0.357895,1063
53199-T177-SUB-0017.abf,4,21.0211,-61.0841,-1.49728,1158.7
53199-T178-CA1-0005.abf,4,21.0211,-60.834,-1.63547,459.9
53199-T179-SUB-0015.abf,4,21.0211,-60.206,-0.462944,1304.1
53202-T180-CA1-0013.abf,4,21.0211,-61.1091,-1.63506,438.2
53202-T181-SUB-0041.abf,4,21.0211,-62.1523,-2.40253,469.9
53446-T153-CA1-0005.abf,4,21.0211,-61.2445,-1.15374,441.7
53446-T155-SUB-0020.abf,4,21.0211,-61.2764,-0.633629,517
54237-T149-CA1-0005.abf,4,21.0211,-62.7281,-3.8714,458.7
54237-T150-SUB-0017.abf,4,21.0211,-60.8117,-3.51937,476.7
54237-T151-SUB-0027.abf,4,21.0211,-60.8818,-3.68318,483.5
54237-T152-CA1-0041.abf,4,21.0211,-60.9775,-0.332328,988.4
57443-T247-SUB-0033.abf,4,21.0211,-60.7034,-0.168977,1389.2
57443-T248-SUB-0043.abf,4,21.0211,-60.8338,-0.0793264,1369.4
57443-T249-CA1-0053.abf,4,21.0211,-60.87,0.51639,1234.6
57445-T250-SUB-0007.abf,4,21.0211,-61.3629,-0.140226,1209.7
57445-T252-CA1-0017.abf,4,21.0211,-61.4924,-2.11637,451.7
57445-T254-SUB-0031.abf,4,21.0211,-61.4899,-1.46788,1097.1
57451-T262-SUB-0005.abf,4,21.0211,-61.4301,-4.31496,449.3
57451-T264-SUB-0015.abf,4,21.0211,-61.1267,-2.02432,457.6
57451-T266-CA1-0027.abf,4,21.0211,-61.5748,-2.72577,448
57453-T268-SUB-0005.abf,4,21.0211,-60.9269,-3.55675,425.2
57453-T269-SUB-0025.abf,4,21.0211,-61.1415,-1.68398,459.6
57456-T272-SUB-0006.abf,4,21.0211,-61.513,-0.346161,1278.3
57458-T273-CA1-0005.abf,4,21.0211,-60.3416,-3.05361,436.6
57458-T275-CA1-0017.abf,4,21.0211,-61.3295,-1.88255,1207.9
57458-T276-SUB-0030.abf,4,21.0211,-61.3248,-0.117283,796.5
57458-T278-SUB-0040.abf,4,21.0211,-61.7338,-1.72245,455.8
57462-T287-SUB-0007.abf,4,21.0211,-60.8791,-0.542661,1389.5
57462-T288-CA1-0019.abf,4,21.0211,-61.0844,-0.866322,453.9
57462-T289-SUB-0030.abf,4,21.0211,-61.1437,-6.75794,474.1
57462-T290-CA1-0040.abf,4,21.0211,-61.4927,-0.183334,1311.7
57462-T291-CA1-0051.abf,4,21.0211,-61.5641,-0.193282,1239.8
57462-T292-SUB-0062.abf,4,21.0211,-60.969,-3.44345,458.7
57463-T293-CA1-0005.abf,4,21.0211,-61.2159,-1.69098,435.1
57463-T295-SUB-0016.abf,4,21.0211,-61.4112,-0.122427,1315.7
57463-T296-SUB-0030.abf,4,21.0211,-60.434,-1.60828,496.3
57468-T302-SUB-0009.abf,4,21.0211,-58.7395,-2.29563,457.3
57468-T303-SUB-0020.abf,4,21.0211,-59.3552,-2.79894,480.3
57468-T304-CA1-0030.abf,4,21.0211,-60.4999,-3.21066,420.8
